element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,2,"=""200.9""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Be,3,"=""""","=""""","=""206.449""","=""0.014""","=""""","=""2.4214e+07""",AAA,"=""[1131472.0]""","=""[1179894.7]""","=""1s.3d""","=""1D""","=""2""","=""1s.4p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""206.8""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""1.1197e+09""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""3F*""","=""4""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""8.5649e+07""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""3F*""","=""3""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""7.1380e+08""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""2""","=""1s.4f""","=""3F*""","=""3""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""4.9767e+06""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""3F*""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""1.7403e+08""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""2""","=""1s.4f""","=""3F*""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""9.4058e+08""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""1""","=""1s.4f""","=""3F*""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""""","=""""","=""207.696""","=""0.006""","=""""","=""3.8767e+07""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""207.696""","=""0.006""","=""""","=""2.8163e+08""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""2""","=""1s.4f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""208.038""","=""""","=""208.033""","=""0.006""","=""60w""","=""7.9805e+08""",AAA,"=""[1131472.0]""","=""[1179526.10]""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""1F*""","=""3""",,"=""T8636c73""","=""L2683""",
Be,3,"=""""","=""""","=""208.033""","=""0.006""","=""""","=""3.1990e+08""",AAA,"=""[1131472.0]""","=""[1179526.10]""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""208.033""","=""0.006""","=""""","=""1.5117e+05""",AAA,"=""[1131472.0]""","=""[1179526.10]""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""210.509""","=""0.014""","=""""","=""1.8344e+03""",AAA,"=""[1132405.8]""","=""[1179894.7]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
Be,3,"=""211.856""","=""""","=""""","=""""","=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1653""",
Be,3,"=""212.227""","=""""","=""212.222""","=""0.005""","=""15w""","=""5.7407e+08""",AAA,"=""[1132405.8]""","=""[1179511.40]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""""","=""""","=""212.421""","=""0.005""","=""""","=""2.5574e+05""",AAA,"=""[1132405.8]""","=""[1179467.30]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""212.720""","=""""","=""212.717""","=""0.005""","=""15w*""","=""1.6162e+08""",AAA,"=""[1128315.30]""","=""[1175311.20]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",,"=""T8636c73""","=""L2683""",
Be,3,"=""212.720""","=""""","=""212.717""","=""0.005""","=""15w*""","=""9.6972e+07""",AAA,"=""[1128315.30]""","=""[1175311.20]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",,"=""T8636c73""","=""L2683""",
Be,3,"=""212.720""","=""""","=""212.717""","=""0.005""","=""15w*""","=""3.2325e+07""",AAA,"=""[1128315.30]""","=""[1175311.20]""","=""1s.3p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",,"=""T8636c73""","=""L2683""",
Li,2,"=""213.1""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Be,3,"=""""","=""""","=""213.632""","=""0.005""","=""""","=""3.5945e+07""",AAA,"=""[1131394.1]""","=""[1178188.90]""","=""1s.3d""","=""3D""","=""3""","=""1s.4p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""213.632""","=""0.005""","=""""","=""3.2069e+07""",AAA,"=""[1131394.1]""","=""[1178188.90]""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""213.632""","=""0.005""","=""""","=""4.2792e+07""",AAA,"=""[1131394.1]""","=""[1178188.90]""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""213.632""","=""0.005""","=""""","=""6.4133e+06""",AAA,"=""[1131394.1]""","=""[1178188.90]""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""213.632""","=""0.005""","=""""","=""1.0698e+07""",AAA,"=""[1131394.1]""","=""[1178188.90]""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""213.632""","=""0.005""","=""""","=""4.2792e+05""",AAA,"=""[1131394.1]""","=""[1178188.90]""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""213.725""","=""""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1653""",
Be,3,"=""""","=""""","=""215.14""","=""0.03""","=""""","=""8.5263e+02""",AAA,"=""[1131472.0]""","=""[1177939.7]""","=""1s.3d""","=""1D""","=""2""","=""1s.4s""","=""1S""","=""0""",E2,"=""T7378""","=""""",
Li,2,"=""216.4""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,2,"=""218.3""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Be,3,"=""219.157""","=""""","=""219.55""","=""0.03""","=""5""","=""2.3511e+08""",AAA,"=""[1132405.8]""","=""[1177939.7]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",,"=""T8636c73""","=""L1653""",
Li,2,"=""221.4""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,2,"=""222.2""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,2,"=""223.7""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,2,"=""224.921""","=""""","=""224.9211""","=""0.0011""","=""w*""","=""""",,"=""[561242.28]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""2""","=""1s.10f""","=""3F*""","=""2""",,"=""""","=""L3501""",
Li,2,"=""224.921""","=""""","=""224.9211""","=""0.0011""","=""w*""","=""""",,"=""[561242.28]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""2""","=""1s.10f""","=""3F*""","=""3""",,"=""""","=""L3501""",
Li,2,"=""224.921""","=""""","=""224.9242""","=""0.0011""","=""w*""","=""""",,"=""[561242.90]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""3""","=""1s.10f""","=""3F*""","=""3""",,"=""""","=""L3501""",
Li,2,"=""224.921""","=""""","=""224.9242""","=""0.0011""","=""w*""","=""""",,"=""[561242.90]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""3""","=""1s.10f""","=""3F*""","=""4""",,"=""""","=""L3501""",
Li,2,"=""224.921""","=""""","=""224.9242""","=""0.0011""","=""w*""","=""""",,"=""[561242.90]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""3""","=""1s.10f""","=""3F*""","=""2""",,"=""""","=""L3501""",
Li,2,"=""224.921""","=""""","=""224.9269""","=""0.0014""","=""w*""","=""""",,"=""[561243.43]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""1""","=""1s.10f""","=""3F*""","=""2""",,"=""""","=""L3501""",
Li,2,"=""228.682""","=""""","=""228.679""","=""0.008""","=""*""","=""""",,"=""[559499.5]""","=""[603215.34]""","=""1s.3p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""2""",,"=""""","=""L3501""",
Li,2,"=""228.682""","=""""","=""228.682""","=""0.008""","=""*""","=""""",,"=""[559499.5]""","=""[603214.95]""","=""1s.3p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""1""",,"=""""","=""L3501""",
Li,2,"=""228.682""","=""""","=""228.682""","=""0.004""","=""*""","=""""",,"=""[559500.55]""","=""[603216.00]""","=""1s.3p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""3""",,"=""""","=""L3501""",
Li,2,"=""228.682""","=""""","=""228.685""","=""0.004""","=""*""","=""""",,"=""[559500.55]""","=""[603215.34]""","=""1s.3p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""2""",,"=""""","=""L3501""",
Li,2,"=""228.682""","=""""","=""228.687""","=""0.004""","=""*""","=""""",,"=""[559500.55]""","=""[603214.95]""","=""1s.3p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""1""",,"=""""","=""L3501""",
Li,2,"=""228.682""","=""""","=""228.6917""","=""0.0019""","=""*""","=""""",,"=""[559501.45]""","=""[603214.95]""","=""1s.3p""","=""3P*""","=""0""","=""1s.8d""","=""3D""","=""1""",,"=""""","=""L3501""",
Li,2,"=""230.257""","=""""","=""230.2568""","=""0.0008""","=""*""","=""""",,"=""[561242.28]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""2""","=""1s.9f""","=""3F*""","=""2""",,"=""""","=""L3501""",
Li,2,"=""230.257""","=""""","=""230.2568""","=""0.0008""","=""*""","=""""",,"=""[561242.28]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""2""","=""1s.9f""","=""3F*""","=""3""",,"=""""","=""L3501""",
Li,2,"=""230.257""","=""""","=""230.2601""","=""0.0008""","=""*""","=""""",,"=""[561242.90]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""3""","=""1s.9f""","=""3F*""","=""4""",,"=""""","=""L3501""",
Li,2,"=""230.257""","=""""","=""230.2601""","=""0.0008""","=""*""","=""""",,"=""[561242.90]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""3""","=""1s.9f""","=""3F*""","=""3""",,"=""""","=""L3501""",
Li,2,"=""230.257""","=""""","=""230.2601""","=""0.0008""","=""*""","=""""",,"=""[561242.90]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""3""","=""1s.9f""","=""3F*""","=""2""",,"=""""","=""L3501""",
Li,2,"=""230.257""","=""""","=""230.2629""","=""0.0012""","=""*""","=""""",,"=""[561243.43]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""1""","=""1s.9f""","=""3F*""","=""2""",,"=""""","=""L3501""",
Li,2,"=""230.333""","=""""","=""230.330""","=""0.008""","=""*""","=""""",,"=""[559499.5]""","=""[602902.11]""","=""1s.3p""","=""3P*""","=""1""","=""1s.8s""","=""3S""","=""1""",,"=""""","=""L3501""",
Li,2,"=""230.333""","=""""","=""230.336""","=""0.004""","=""*""","=""""",,"=""[559500.55]""","=""[602902.11]""","=""1s.3p""","=""3P*""","=""2""","=""1s.8s""","=""3S""","=""1""",,"=""""","=""L3501""",
Li,2,"=""230.333""","=""""","=""230.3403""","=""0.0017""","=""*""","=""""",,"=""[559501.45]""","=""[602902.11]""","=""1s.3p""","=""3P*""","=""0""","=""1s.8s""","=""3S""","=""1""",,"=""""","=""L3501""",
Be,3,"=""""","=""""","=""231.4""","=""0.3""","=""""","=""1.9186e+07""",AAA,"=""[1177939.7]""","=""[1221148]""","=""1s.4s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""232.984""","=""""","=""232.9801""","=""0.0008""","=""*""","=""1.1758e+07""",AAA,"=""[554753.58]""","=""[597662.53]""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""232.984""","=""""","=""232.9838""","=""0.0008""","=""*""","=""1.1758e+07""",AAA,"=""[554753.58]""","=""[597661.86]""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""232.984""","=""""","=""232.9858""","=""0.0008""","=""*""","=""1.1758e+07""",AAA,"=""[554753.58]""","=""[597661.48]""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",,"=""T8636c73""","=""L3501""",
Li,2,"=""233.688""","=""""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""233.691""","=""""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""233.700""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""""","=""""","=""235.82""","=""0.17""","=""""","=""7.9551e+06""",AAA,"=""[558777.01]""","=""[601169]""","=""1s.3s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""238.154""","=""""","=""238.1537""","=""0.0013""","=""*""","=""""",,"=""[561242.28]""","=""[603219.16]""","=""1s.3d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""L3501""",
Li,2,"=""238.154""","=""""","=""238.1537""","=""0.0013""","=""*""","=""""",,"=""[561242.28]""","=""[603219.16]""","=""1s.3d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,"=""""","=""L3501""",
Li,2,"=""238.154""","=""""","=""238.1572""","=""0.0013""","=""*""","=""""",,"=""[561242.90]""","=""[603219.16]""","=""1s.3d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""3""",,"=""""","=""L3501""",
Li,2,"=""238.154""","=""""","=""238.1572""","=""0.0013""","=""*""","=""""",,"=""[561242.90]""","=""[603219.16]""","=""1s.3d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""L3501""",
Li,2,"=""238.154""","=""""","=""238.1572""","=""0.0013""","=""*""","=""""",,"=""[561242.90]""","=""[603219.16]""","=""1s.3d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""4""",,"=""""","=""L3501""",
Li,2,"=""238.154""","=""""","=""238.1603""","=""0.0016""","=""*""","=""""",,"=""[561243.43]""","=""[603219.16]""","=""1s.3d""","=""3D""","=""1""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""L3501""",
Li,2,"=""238.320""","=""""","=""238.3200""","=""0.0008""","=""""","=""""",,"=""[561272.75]""","=""[603220.34]""","=""1s.3d""","=""1D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,"=""""","=""L3501""",
Be,3,"=""""","=""""","=""240.124""","=""0.005""","=""""","=""5.9738e+07""",AAA,"=""[1179467.30]""","=""[1221099.70]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""240.124""","=""0.005""","=""""","=""4.4039e+07""",AAA,"=""[1179467.30]""","=""[1221099.70]""","=""1s.4d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""240.124""","=""0.005""","=""""","=""5.0181e+07""",AAA,"=""[1179467.30]""","=""[1221099.70]""","=""1s.4d""","=""3D""","=""1""","=""1s.7f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""240.124""","=""0.005""","=""""","=""5.3833e+06""",AAA,"=""[1179467.30]""","=""[1221099.70]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""240.124""","=""0.005""","=""""","=""9.2878e+06""",AAA,"=""[1179467.30]""","=""[1221099.70]""","=""1s.4d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""240.124""","=""0.005""","=""""","=""2.6550e+05""",AAA,"=""[1179467.30]""","=""[1221099.70]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""240.1""","=""0.3""","=""""","=""3.8595e+06""",AAA,"=""[1179511.40]""","=""[1221148]""","=""1s.4d""","=""1D""","=""2""","=""1s.7p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""240.233""","=""""","=""240.230""","=""0.009""","=""*""","=""1.4799e+07""",AAA,"=""[559499.5]""","=""[601113.58]""","=""1s.3p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""240.233""","=""""","=""240.232""","=""0.009""","=""*""","=""8.2222e+06""",AAA,"=""[559499.5]""","=""[601113.19]""","=""1s.3p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""240.233""","=""""","=""240.232""","=""0.005""","=""*""","=""1.9734e+07""",AAA,"=""[559500.55]""","=""[601114.24]""","=""1s.3p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""240.233""","=""""","=""240.236""","=""0.005""","=""*""","=""4.9328e+06""",AAA,"=""[559500.55]""","=""[601113.58]""","=""1s.3p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""240.233""","=""""","=""240.238""","=""0.005""","=""*""","=""5.4817e+05""",AAA,"=""[559500.55]""","=""[601113.19]""","=""1s.3p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""240.233""","=""""","=""240.2437""","=""0.0021""","=""*""","=""1.0963e+07""",AAA,"=""[559501.45]""","=""[601113.19]""","=""1s.3p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Be,3,"=""""","=""""","=""240.379""","=""0.005""","=""""","=""1.0280e+07""",AAA,"=""[1179511.40]""","=""[1221099.70]""","=""1s.4d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""240.379""","=""0.005""","=""""","=""4.6552e+03""",AAA,"=""[1179511.40]""","=""[1221099.70]""","=""1s.4d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""241.084""","=""""","=""241.0842""","=""0.0012""","=""""","=""""",,"=""[561751.95]""","=""[603218.63]""","=""1s.3p""","=""1P*""","=""1""","=""1s.8d""","=""1D""","=""2""",,"=""""","=""L3501""",
Li,2,"=""242.981""","=""""","=""242.978""","=""0.009""","=""*""","=""3.5140e+06""",AAA,"=""[559499.5]""","=""[600643.03]""","=""1s.3p""","=""3P*""","=""1""","=""1s.7s""","=""3S""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""242.981""","=""""","=""242.984""","=""0.005""","=""*""","=""5.8567e+06""",AAA,"=""[559500.55]""","=""[600643.03]""","=""1s.3p""","=""3P*""","=""2""","=""1s.7s""","=""3S""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""242.981""","=""""","=""242.9894""","=""0.0019""","=""*""","=""1.1713e+06""",AAA,"=""[559501.45]""","=""[600643.03]""","=""1s.3p""","=""3P*""","=""0""","=""1s.7s""","=""3S""","=""1""",,"=""T8636c73""","=""L3501""",
Be,3,"=""""","=""""","=""244.147""","=""0.003""","=""""","=""3.5229e+02""",AAA,"=""[956518.70]""","=""[997465.30]""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""250.6907""","=""0.0009""","=""""","=""3.513e+05""",AA,"=""[561242.90]""","=""[601120.68]""","=""1s.3d""","=""3D""","=""3""","=""1s.7f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""250.694""","=""""","=""250.6868""","=""0.0009""","=""*""","=""2.559e+06""",AA,"=""[561242.28]""","=""[601120.68]""","=""1s.3d""","=""3D""","=""2""","=""1s.7f""","=""1F*""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""250.694""","=""""","=""250.6940""","=""0.0014""","=""*""","=""3.0283e+06""",AAA,"=""[561242.28]""","=""[601119.54]""","=""1s.3d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""250.694""","=""""","=""250.6940""","=""0.0014""","=""*""","=""1.4753e+07""",AAA,"=""[561242.28]""","=""[601119.54]""","=""1s.3d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""250.694""","=""""","=""250.6979""","=""0.0014""","=""*""","=""1.8126e+06""",AAA,"=""[561242.90]""","=""[601119.54]""","=""1s.3d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""250.694""","=""""","=""250.6979""","=""0.0014""","=""*""","=""1.9476e+07""",AAA,"=""[561242.90]""","=""[601119.54]""","=""1s.3d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""4""",,"=""T8636c73""","=""L3501""",
Li,2,"=""250.694""","=""""","=""250.7012""","=""0.0018""","=""*""","=""1.6359e+07""",AAA,"=""[561243.43]""","=""[601119.54]""","=""1s.3d""","=""3D""","=""1""","=""1s.7f""","=""3F*""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""""","=""250.6979""","=""0.0014""","=""""","=""8.6554e+04""",AAA,"=""[561242.90]""","=""[601119.54]""","=""1s.3d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""250.878""","=""""","=""250.8785""","=""0.0009""","=""*""","=""1.6484e+07""",AAA,"=""[561272.75]""","=""[601120.68]""","=""1s.3d""","=""1D""","=""2""","=""1s.7f""","=""1F*""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""250.878""","=""""","=""250.8857""","=""0.0014""","=""*""","=""2.893e+06""",AA,"=""[561272.75]""","=""[601119.54]""","=""1s.3d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""""","=""250.8857""","=""0.0014""","=""""","=""1.089e+03""",AA,"=""[561272.75]""","=""[601119.54]""","=""1s.3d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""250.57""","=""0.19""","=""""","=""6.2235e+05""",AAA,"=""[561272.75]""","=""[601169]""","=""1s.3d""","=""1D""","=""2""","=""1s.7p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""253.949""","=""""","=""253.9487""","=""0.0014""","=""""","=""1.7886e+07""",AAA,"=""[561751.95]""","=""[601118.15]""","=""1s.3p""","=""1P*""","=""1""","=""1s.7d""","=""1D""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""255.17""","=""""","=""255.170""","=""0.013""","=""24""","=""8.4872e+06""",AAA,"=""[561751.95]""","=""[600929.7]""","=""1s.3p""","=""1P*""","=""1""","=""1s.7s""","=""1S""","=""0""",,"=""T8636c73""","=""L7397""",
Li,2,"=""""","=""""","=""255.6474""","=""0.0012""","=""""","=""5.317e+01""",AA,"=""[558777.01]""","=""[597881.65]""","=""1s.3s""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
Li,2,"=""255.9""","=""""","=""255.29""","=""0.03""","=""""","=""1.2342e+07""",AAA,"=""[558777.01]""","=""[597936.4]""","=""1s.3s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,"=""T8636c73""","=""L1614""",
He,1,"=""257.76""","=""0.03""","=""257.79""","=""0.03""","=""50""","=""""",,"=""470310""","=""509090""","=""2s.2p""","=""3P*""","=""0,1,2""","=""2p.3p""","=""3D""","=""1,2,3""",,"=""""","=""L1786""",
Li,2,"=""""","=""""","=""260.505""","=""0.010""","=""""","=""2.3813e+07""",AAA,"=""[559499.5]""","=""[597875.07]""","=""1s.3p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""260.508""","=""""","=""260.507""","=""0.010""","=""*""","=""1.3230e+07""",AAA,"=""[559499.5]""","=""[597874.68]""","=""1s.3p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""260.508""","=""""","=""260.507""","=""0.005""","=""*""","=""3.1753e+07""",AAA,"=""[559500.55]""","=""[597875.73]""","=""1s.3p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""""","=""260.512""","=""0.005""","=""""","=""7.9370e+06""",AAA,"=""[559500.55]""","=""[597875.07]""","=""1s.3p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""260.514""","=""0.006""","=""""","=""8.8202e+05""",AAA,"=""[559500.55]""","=""[597874.68]""","=""1s.3p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
